Season,name,rank,points,for,against,win,draw,lose
2023,Manchester City,1,91,96,34,28,7,3
2023,Arsenal,2,89,91,29,28,5,5
2023,Liverpool,3,82,86,41,24,10,4
2023,Aston Villa,4,68,76,61,20,8,10
2023,Tottenham,5,66,74,61,20,6,12
2023,Chelsea,6,63,77,63,18,9,11
2023,Newcastle,7,60,85,62,18,6,14
2023,Manchester United,8,60,57,58,18,6,14
2023,West Ham,9,52,60,74,14,10,14
2023,Crystal Palace,10,49,57,58,13,10,15
2023,Brighton,11,48,55,62,12,12,14
2023,Bournemouth,12,48,54,67,13,9,16
2023,Fulham,13,47,55,61,13,8,17
2023,Wolves,14,46,50,65,13,7,18
2023,Everton,15,40,40,51,13,9,16
2023,Brentford,16,39,56,65,10,9,19
2023,Nottingham Forest,17,32,49,67,9,9,20
2023,Luton,18,26,52,85,6,8,24
2023,Burnley,19,24,41,78,5,9,24
2023,Sheffield Utd,20,16,35,104,3,7,28
2015,Leicester,1,81,68,36,23,12,3
2015,Arsenal,2,71,65,36,20,11,7
2015,Tottenham,3,70,69,35,19,13,6
2015,Manchester City,4,66,71,41,19,9,10
2015,Manchester United,5,66,49,35,19,9,10
2015,Southampton,6,63,59,41,18,9,11
2015,West Ham,7,62,65,51,16,14,8
2015,Liverpool,8,60,63,50,16,12,10
2015,Stoke City,9,51,41,55,14,9,15
2015,Chelsea,10,50,59,53,12,14,12
2015,Everton,11,47,59,55,11,14,13
2015,Swansea,12,47,42,52,12,11,15
2015,Watford,13,45,40,50,12,9,17
2015,West Brom,14,43,34,48,10,13,15
2015,Crystal Palace,15,42,39,51,11,9,18
2015,Bournemouth,16,42,45,67,11,9,18
2015,Sunderland,17,39,48,62,9,12,17
2015,Newcastle,18,37,44,65,9,10,19
2015,Norwich,19,34,39,67,9,7,22
2015,Aston Villa,20,17,27,76,3,8,27
2017,Manchester City,1,100,106,27,32,4,2
2017,Manchester United,2,81,68,28,25,6,7
2017,Tottenham,3,77,74,36,23,8,7
